
completa -ez, -at   -   kitölt (nyomtatványt) (frrs: ny3lv1 7ogok)
comun&#259;   -   község (frrs: ny3lv1 7ogok)
consiliul jude&#355;ean   -   megyei képvisel&#337;testület (régiesen: tanács) (frrs: ny3lv1 7ogok)
consiliul local   -   helyi képvisel&#337;testület (régiesen: tanács) (frrs: ny3lv1 7ogok)
constitu&#355;ie   -   alkotmány (frrs: ny3lv1 7ogok)
cont bancar    -   bankszámlaszám (frrs: ny3lv1 7ogok)
cont curent   -   folyószámla (frrs: ny3lv1 7ogok)
contabil autorizat   -   mérlegképes könyvel&#337; (frrs: ny3lv1 7ogok)
contabilitate   -   számfejtés, könyvel&#337;ség (frrs: ny3lv1 7ogok)
contacte administrative   -   közigazgatási szerz&#337;dés (frrs: ny3lv1 7ogok)
contesta&#355;ie    -   óvás (frrs: ny3lv1 7ogok)
contract     -   szerz&#337;dés (frrs: ny3lv1 7ogok)
contract de &#206;nchiriere    -   bérleti szerz&#337;dés (frrs: ny3lv1 7ogok)
contract de v&#226;nzare-cumpar&#259;re   -   adásvételi szerz&#337;dés (frrs: ny3lv1 7ogok)
contractul de dona&#355;ie   -   ajándékozási szerz&#337;dés (frrs: ny3lv1 7ogok)
contraven&#355;ie   -   szabálysértés (frrs: ny3lv1 7ogok)
contribuabil(&#259;)   -   adóalany, adófizet&#337; (frrs: ny3lv1 7ogok)
contribu&#355;ie   -   járulék, hozzájárulás (frrs: ny3lv1 7ogok)
contribu&#355;ie la asigur&#259;rile pentru accidente &#351;i boli profesionale   -   baleset- és betegségbiztosítási járulék (frrs: ny3lv1 7ogok)
contribu&#355;ie la asigur&#259;rile sociale (CAS)   -   egészségbíztosítási hozzájárulás (munkaadó fizeti); társadalombiztosítási járulék (frrs: ny3lv1 7ogok)
contribu&#355;ie la asigur&#259;rile sociale de s&#259;n&#259;tate   -   egészségbiztosítási járulék (frrs: ny3lv1 7ogok)
contribu&#355;ie la bugetul asigur&#259;rilor pentru &#351;omaj   -   munkanélküli biztosítás járuléka (frrs: ny3lv1 7ogok)
contribu&#355;ie pentru persoanele cu handicap   -   fogyatékossági járulék (frrs: ny3lv1 7ogok)
control &#206;ncruci&#351;at   -   keresztellen&#337;rzés (frrs: ny3lv1 7ogok)
copie xerox    -   fénymásolat (frrs: ny3lv1 7ogok)
cota parte   -   tulajdoni hányad (frrs: ny3lv1 7ogok)
creditor   -   hitelez&#337; (frrs: ny3lv1 7ogok)
D   -   D (frrs: ny3lv1 7ogok)
date   -   adatok (frrs: ny3lv1 7ogok)
date personale   -   személyi adatok (frrs: ny3lv1 7ogok)
declara&#355;ia de impunere   -   adóbevallás (frrs: ny3lv1 7ogok)
declara&#355;ia fiscal&#259;   -   adóbevallás (frrs: ny3lv1 7ogok)
